kana,kanji,pos,desc,word,lesson,idx
くちべに                                            , 口紅                                         , 名词     , 口红                                       , !口紅(くちべに)                                                       , 151 , 1
なべもの                                            , 鍋物                                         , 名词     , 火锅                                       , !鍋物(なべもの)                                                       , 151 , 1
ひつじ                                              , 羊                                           , 名词     , 羊，绵羊                                   , !羊(ひつじ)                                                           , 151 , 1
しゃぶやぶ                                          ,                                              , 名词     , 涮锅，涮（牛羊肉片）火锅                   , しゃぶやぶ                                                            , 151 , 1
またおこしください                                  , またお越しください                           , 惯用语   , 请再次光临，欢迎再来                       , またお!越(こ)しください                               , 151 , 1
とうてん                                            , 当店                                         , 名词     , 本店，我店                                 , !当店(とうてん)                                                       , 151 , 1
ひつじにく                                          , 羊肉                                         , 名词     , 羊肉                                       , !羊肉(ひつじにく)                                                     , 151 , 1
ホラー                                              ,                                              , 名词     , 恐怖片，惊悚片                             , ホラー                                                                , 151 , 1
れつ                                                , 列                                           , 名词     , 队，列，行列                               , !列(れつ)                                                             , 151 , 1
まどぐち                                            , 窓口                                         , 名词     , 窗口                                       , !窓口(まどぐち)                                                       , 151 , 1
かきなおす                                          , 書き直す                                     , 动1      , 改写，重新写；誊写                         , !書き直(かきなお)す                                                 , 151 , 1
からだにいい                                        , 体にいい                                     , 惯用语   , 对身体好，有益健康                         , !体(からだ)にいい                                               , 151 , 1
せんもんてん                                        , 専門店                                       , 名词     , 专卖店                                     , !専門店(せんもんてん)                                                 , 152 , 1
ハンバーガー                                        ,                                              , 名词     , 汉堡包                                     , ハンバーガー                                                          , 152 , 1
パスタ                                              ,                                              , 名词     , 意大利面条，意大利面食类                   , パスタ                                                                , 152 , 1
たよう                                              , 多様                                         , 形容动词 , 多种多样，各式各样                         , !多様(たよう)                                                         , 152 , 1
おしぼり                                            ,                                              , 名词     , 湿巾                                       , おしぼり                                                              , 152 , 1
むりょう                                            , 無料                                         , 名词     , 免费                                       , !無料(むりょう)                                                       , 152 , 1
メニュー                                            ,                                              , 名词     , 菜单，菜谱                                 , メニュー                                                              , 152 , 1
ちょうりする                                        , 調理                                         , 动3      , 烹饪，调理                                 , !調理(ちょうりする)                                                   , 152 , 1
のせる                                              , 載せる                                       , 动2      , 放，搁；载，登载                           , !載(の)せる                                                       , 152 , 1
たにんどん                                          , 他人丼                                       , 名词     , 他人盖饭，猪（牛）肉鸡蛋盖饭               , !他人丼(たにんどん)                                                   , 152 , 1
ぶたにく                                            , 豚肉                                         , 名词     , 猪肉                                       , !豚肉(ぶたにく)                                                       , 152 , 1
おやこ                                              , 親子                                         , 名词     , 父母和子女                                 , !親子(おやこ)                                                         , 152 , 1
たにん                                              , 他人                                         , 名词     , 他人，别人                                 , !他人(たにん)                                                         , 152 , 1
キツネうどん                                        ,                                              , 名词     , 狐狸乌冬面，油炸豆腐乌冬面                 , キツネうどん                                                          , 152 , 1
けっして                                            , 決して                                       , 副词     , 绝对（不），决（不），断然（不）           , !決(けっ)して                                                     , 152 , 1
